District,poll_start,poll_end,endWeek
az02-1,9/26/2018,10/1/2018,10/6/2018
az06-3,10/11/2018,10/15/2018,10/20/2018
azsen-3,10/15/2018,10/19/2018,10/20/2018
ca10-3,10/21/2018,10/25/2018,10/27/2018
ca25-1,9/17/2018,9/19/2018,9/22/2018
ca25-3,10/25/2018,10/28/2018,11/3/2018
ca39-3,10/18/2018,10/23/2018,10/27/2018
ca45-1,9/21/2018,9/25/2018,9/29/2018
ca48-1,9/4/2018,9/6/2018,9/8/2018
ca49-1,9/18/2018,9/23/2018,9/29/2018
ca49-3,10/19/2018,10/24/2018,10/27/2018
co06-1,9/12/2018,9/14/2018,9/15/2018
co06-3,10/13/2018,10/17/2018,10/20/2018
fl15-3,10/16/2018,10/19/2018,10/20/2018
fl26-1,9/13/2018,9/17/2018,9/22/2018
fl26-3,10/19/2018,10/24/2018,10/27/2018
fl27-3,10/15/2018,10/19/2018,10/20/2018
flgov-3,10/23/2018,10/27/2018,11/3/2018
flsen-3,10/23/2018,10/27/2018,11/3/2018
ia01-1,9/18/2018,9/20/2018,9/22/2018
ia03-1,9/27/2018,9/30/2018,10/6/2018
ia03-3,10/25/2018,10/27/2018,11/3/2018
il06-1,9/4/2018,9/6/2018,9/8/2018
il06-3,10/20/2018,10/26/2018,10/27/2018
il12-1,9/4/2018,9/6/2018,9/8/2018
il12-3,10/18/2018,10/22/2018,10/27/2018
il13-3,10/21/2018,10/25/2018,10/27/2018
il14-1,10/3/2018,10/8/2018,10/13/2018
ks02-1,9/13/2018,9/15/2018,9/15/2018
ks03-1,9/20/2018,9/23/2018,9/29/2018
ks03-3,10/14/2018,10/17/2018,10/20/2018
ky06-1,9/6/2018,9/8/2018,9/15/2018
me02-1,9/12/2018,9/14/2018,9/15/2018
me02-3,10/15/2018,10/18/2018,10/20/2018
mi08-1,9/28/2018,10/3/2018,10/6/2018
mi11-1,10/1/2018,10/6/2018,10/13/2018
mn02-1,9/29/2018,10/2/2018,10/6/2018
mn03-1,9/7/2018,9/9/2018,9/15/2018
mn08-1,9/6/2018,9/9/2018,9/15/2018
mn08-3,10/11/2018,10/14/2018,10/20/2018
nc09-1,10/1/2018,10/5/2018,10/6/2018
nc13-1,10/3/2018,10/8/2018,10/13/2018
ne02-1,9/23/2018,9/26/2018,9/29/2018
nj03-1,9/22/2018,9/26/2018,9/29/2018
nj03-3,10/21/2018,10/25/2018,10/27/2018
nj07-1,9/17/2018,9/21/2018,9/22/2018
nj11-3,10/13/2018,10/17/2018,10/20/2018
nm02-1,9/13/2018,9/18/2018,9/22/2018
nm02-3,10/19/2018,10/23/2018,10/27/2018
nvsen-2,10/8/2018,10/10/2018,10/13/2018
ny01-1,10/4/2018,10/8/2018,10/13/2018
ny11-3,10/23/2018,10/27/2018,11/3/2018
oh01-1,9/27/2018,10/1/2018,10/6/2018
oh01-3,10/20/2018,10/24/2018,10/27/2018
pa01-2,10/11/2018,10/14/2018,10/20/2018
pa01-3,10/25/2018,10/29/2018,11/3/2018
pa07-1,9/21/2018,9/25/2018,9/29/2018
pa08-3,10/16/2018,10/19/2018,10/20/2018
pa10-3,10/23/2018,10/26/2018,10/27/2018
pa16-1,10/5/2018,10/8/2018,10/13/2018
tnsen-2,10/8/2018,10/11/2018,10/13/2018
tx07-1,9/14/2018,9/18/2018,9/22/2018
tx07-3,10/19/2018,10/25/2018,10/27/2018
tx23-1,9/10/2018,9/11/2018,9/15/2018
tx23-3,10/13/2018,10/18/2018,10/20/2018
tx31-1,10/1/2018,10/5/2018,10/6/2018
tx32-1,9/19/2018,9/24/2018,9/29/2018
txsen-2,10/8/2018,10/11/2018,10/13/2018
ut04-3,10/24/2018,10/26/2018,10/27/2018
va02-1,9/26/2018,10/1/2018,10/6/2018
va02-3,10/18/2018,10/22/2018,10/27/2018
va05-3,10/16/2018,10/22/2018,10/27/2018
va07-1,9/9/2018,9/12/2018,9/15/2018
va10-3,10/11/2018,10/15/2018,10/20/2018
wa03-3,10/14/2018,10/19/2018,10/20/2018
wa08-1,9/24/2018,9/28/2018,9/29/2018
wi01-1,9/11/2018,9/13/2018,9/15/2018
wv03-1,9/8/2018,9/10/2018,9/15/2018
wv03-3,10/14/2018,10/18/2018,10/20/2018
ks02-3,10/25/2018,10/30/2018,10/30/2018
nc09-3,10/25/2018,10/30/2018,10/30/2018
